* Measurement data measured by REW V5.19
* Source: D:\Downloads\Toole.csv
* Format: Comma/Tab/Space delimited data
* Dated: Oct 1, 2020 8:33:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from D:\Downloads\Toole.csv Format: Comma/Tab/Space delimited data 248 values loaded, 21 Hz to 19,356 Hz
* Measurement: Toole.csv
* Smoothing: None
* Frequency Step: 0.25 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
157.866 2.664 0
158.116 2.662 0
158.366 2.661 0
158.616 2.659 0
158.866 2.657 0
159.116 2.656 0
159.366 2.654 0
159.616 2.653 0
159.866 2.651 0
160.116 2.650 0
160.366 2.648 0
160.616 2.647 0
160.866 2.645 0
161.116 2.643 0
161.366 2.642 0
161.616 2.640 0
161.866 2.639 0
162.116 2.637 0
162.366 2.635 0
162.616 2.634 0
162.866 2.632 0
163.116 2.630 0
163.366 2.629 0
163.616 2.627 0
163.866 2.625 0
164.116 2.624 0
164.366 2.622 0
164.616 2.620 0
164.866 2.619 0
165.116 2.617 0
165.366 2.615 0
165.616 2.614 0
165.866 2.612 0
166.116 2.610 0
166.366 2.609 0
166.616 2.607 0
166.866 2.606 0
167.116 2.604 0
167.366 2.603 0
167.616 2.601 0
167.866 2.600 0
168.116 2.598 0
168.366 2.597 0
168.616 2.595 0
168.866 2.594 0
169.116 2.592 0
169.366 2.591 0
169.616 2.589 0
169.866 2.588 0
170.116 2.587 0
170.366 2.585 0
170.616 2.584 0
170.866 2.582 0
171.116 2.581 0
171.366 2.579 0
171.616 2.578 0
171.866 2.576 0
172.116 2.575 0
172.366 2.574 0
172.616 2.572 0
172.866 2.571 0
173.116 2.569 0
173.366 2.568 0
173.616 2.566 0
173.866 2.565 0
174.116 2.564 0
174.366 2.562 0
174.616 2.561 0
174.866 2.559 0
175.116 2.558 0
175.366 2.556 0
175.616 2.555 0
175.866 2.553 0
176.116 2.552 0
176.366 2.551 0
176.616 2.549 0
176.866 2.548 0
177.116 2.546 0
177.366 2.545 0
177.616 2.543 0
177.866 2.542 0
178.116 2.540 0
178.366 2.539 0
178.616 2.537 0
178.866 2.536 0
179.116 2.534 0
179.366 2.533 0
179.616 2.532 0
179.866 2.530 0
180.116 2.529 0
180.366 2.527 0
180.616 2.526 0
180.866 2.524 0
181.116 2.523 0
181.366 2.521 0
181.616 2.520 0
181.866 2.518 0
182.116 2.517 0
182.366 2.516 0
182.616 2.514 0
182.866 2.513 0
183.116 2.511 0
183.366 2.510 0
183.616 2.508 0
183.866 2.507 0
184.116 2.506 0
184.366 2.504 0
184.616 2.503 0
184.866 2.501 0
185.116 2.500 0
185.366 2.499 0
185.616 2.497 0
185.866 2.496 0
186.116 2.494 0
186.366 2.493 0
186.616 2.492 0
186.866 2.490 0
187.116 2.489 0
187.366 2.488 0
187.616 2.486 0
187.866 2.485 0
188.116 2.484 0
188.366 2.482 0
188.616 2.481 0
188.866 2.480 0
189.116 2.479 0
189.366 2.477 0
189.616 2.476 0
189.866 2.475 0
190.116 2.473 0
190.366 2.472 0
190.616 2.471 0
190.866 2.469 0
191.116 2.468 0
191.366 2.467 0
191.616 2.466 0
191.866 2.464 0
192.116 2.463 0
192.366 2.462 0
192.616 2.460 0
192.866 2.459 0
193.116 2.458 0
193.366 2.457 0
193.616 2.455 0
193.866 2.454 0
194.116 2.453 0
194.366 2.451 0
194.616 2.450 0
194.866 2.449 0
195.116 2.448 0
195.366 2.446 0
195.616 2.445 0
195.866 2.444 0
196.116 2.442 0
196.366 2.441 0
196.616 2.440 0
196.866 2.438 0
197.116 2.437 0
197.366 2.436 0
197.616 2.434 0
197.866 2.433 0
198.116 2.431 0
198.366 2.430 0
198.616 2.429 0
198.866 2.427 0
199.116 2.426 0
199.366 2.425 0
199.616 2.423 0
199.866 2.422 0
200.116 2.420 0
200.366 2.419 0
200.616 2.418 0
200.866 2.416 0
201.116 2.415 0
201.366 2.414 0
201.616 2.412 0
201.866 2.411 0
202.116 2.410 0
202.366 2.409 0
202.616 2.407 0
202.866 2.406 0
203.116 2.405 0
203.366 2.404 0
203.616 2.402 0
203.866 2.401 0
204.116 2.400 0
204.366 2.399 0
204.616 2.397 0
204.866 2.396 0
205.116 2.395 0
205.366 2.394 0
205.616 2.393 0
205.866 2.391 0
206.116 2.390 0
206.366 2.389 0
206.616 2.388 0
206.866 2.387 0
207.116 2.385 0
207.366 2.384 0
207.616 2.383 0
207.866 2.382 0
208.116 2.381 0
208.366 2.379 0
208.616 2.378 0
208.866 2.377 0
209.116 2.376 0
209.366 2.375 0
209.616 2.373 0
209.866 2.372 0
210.116 2.371 0
210.366 2.370 0
210.616 2.369 0
210.866 2.368 0
211.116 2.366 0
211.366 2.365 0
211.616 2.364 0
211.866 2.363 0
212.116 2.362 0
212.366 2.360 0
212.616 2.359 0
212.866 2.358 0
213.116 2.357 0
213.366 2.356 0
213.616 2.355 0
213.866 2.354 0
214.116 2.352 0
214.366 2.351 0
214.616 2.350 0
214.866 2.349 0
215.116 2.348 0
215.366 2.347 0
215.616 2.345 0
215.866 2.344 0
216.116 2.343 0
216.366 2.342 0
216.616 2.341 0
216.866 2.340 0
217.116 2.339 0
217.366 2.337 0
217.616 2.336 0
217.866 2.335 0
218.116 2.334 0
218.366 2.333 0
218.616 2.332 0
218.866 2.331 0
219.116 2.329 0
219.366 2.328 0
219.616 2.327 0
219.866 2.326 0
220.116 2.325 0
220.366 2.323 0
220.616 2.322 0
220.866 2.321 0
221.116 2.320 0
221.366 2.318 0
221.616 2.317 0
221.866 2.316 0
222.116 2.315 0
222.366 2.313 0
222.616 2.312 0
222.866 2.311 0
223.116 2.310 0
223.366 2.309 0
223.616 2.307 0
223.866 2.306 0
224.116 2.305 0
224.366 2.304 0
224.616 2.302 0
224.866 2.301 0
225.116 2.300 0
225.366 2.299 0
225.616 2.298 0
225.866 2.297 0
226.116 2.295 0
226.366 2.294 0
226.616 2.293 0
226.866 2.292 0
227.116 2.291 0
227.366 2.290 0
227.616 2.289 0
227.866 2.288 0
228.116 2.287 0
228.366 2.285 0
228.616 2.284 0
228.866 2.283 0
229.116 2.282 0
229.366 2.281 0
229.616 2.280 0
229.866 2.279 0
230.116 2.278 0
230.366 2.277 0
230.616 2.276 0
