* Measurement data measured by REW V5.19
* Source: D:\Downloads\rtings Target.csv
* Format: Comma/Tab/Space delimited data
* Dated: Oct 3, 2020 1:51:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from D:\Downloads\rtings Target.csv Format: Comma/Tab/Space delimited data 170 values loaded, 20 Hz to 19,779 Hz
* Measurement: rtings Target.csv
* Smoothing: None
* Frequency Step: 0.25 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
250.357 80.368 0
250.607 80.367 0
250.857 80.366 0
251.107 80.364 0
251.357 80.363 0
251.607 80.362 0
251.857 80.361 0
252.107 80.360 0
252.357 80.359 0
252.607 80.357 0
252.857 80.356 0
253.107 80.354 0
253.357 80.353 0
253.607 80.352 0
253.857 80.350 0
254.107 80.349 0
254.357 80.348 0
254.607 80.346 0
254.857 80.345 0
255.107 80.344 0
255.357 80.342 0
255.607 80.341 0
255.857 80.339 0
256.107 80.338 0
256.357 80.337 0
256.607 80.335 0
256.857 80.334 0
257.107 80.333 0
257.357 80.331 0
257.607 80.330 0
257.857 80.329 0
258.107 80.327 0
258.357 80.326 0
258.607 80.324 0
258.857 80.323 0
259.107 80.322 0
259.357 80.320 0
259.607 80.319 0
259.857 80.318 0
260.107 80.316 0
260.357 80.315 0
260.607 80.313 0
260.857 80.312 0
261.107 80.311 0
261.357 80.309 0
261.607 80.308 0
261.857 80.307 0
262.107 80.305 0
262.357 80.304 0
262.607 80.303 0
262.857 80.301 0
263.107 80.300 0
263.357 80.299 0
263.607 80.297 0
263.857 80.296 0
264.107 80.294 0
264.357 80.293 0
264.607 80.292 0
264.857 80.290 0
265.107 80.289 0
265.357 80.288 0
265.607 80.286 0
265.857 80.285 0
266.107 80.284 0
266.357 80.282 0
266.607 80.281 0
266.857 80.280 0
267.107 80.278 0
267.357 80.277 0
267.607 80.276 0
267.857 80.274 0
268.107 80.273 0
268.357 80.271 0
268.607 80.270 0
268.857 80.269 0
269.107 80.267 0
269.357 80.266 0
269.607 80.265 0
269.857 80.263 0
270.107 80.262 0
270.357 80.261 0
270.607 80.259 0
270.857 80.258 0
271.107 80.257 0
271.357 80.256 0
271.607 80.254 0
271.857 80.253 0
272.107 80.252 0
272.357 80.250 0
272.607 80.249 0
272.857 80.248 0
273.107 80.246 0
273.357 80.245 0
273.607 80.244 0
273.857 80.243 0
274.107 80.242 0
274.357 80.241 0
274.607 80.240 0
274.857 80.239 0
275.107 80.238 0
275.357 80.237 0
275.607 80.236 0
275.857 80.235 0
276.107 80.234 0
276.357 80.233 0
276.607 80.232 0
276.857 80.231 0
277.107 80.231 0
277.357 80.230 0
277.607 80.229 0
277.857 80.228 0
278.107 80.227 0
278.357 80.226 0
278.607 80.225 0
278.857 80.225 0
279.107 80.224 0
279.357 80.223 0
279.607 80.222 0
279.857 80.221 0
280.107 80.220 0
280.357 80.219 0
280.607 80.218 0
280.857 80.217 0
281.107 80.216 0
281.357 80.215 0
281.607 80.214 0
281.857 80.213 0
282.107 80.212 0
282.357 80.212 0
282.607 80.211 0
282.857 80.210 0
283.107 80.209 0
283.357 80.208 0
283.607 80.207 0
283.857 80.206 0
284.107 80.205 0
284.357 80.204 0
284.607 80.203 0
284.857 80.202 0
285.107 80.201 0
285.357 80.200 0
285.607 80.199 0
285.857 80.198 0
286.107 80.197 0
286.357 80.196 0
286.607 80.196 0
286.857 80.195 0
287.107 80.194 0
287.357 80.193 0
287.607 80.192 0
287.857 80.191 0
288.107 80.190 0
288.357 80.189 0
288.607 80.188 0
288.857 80.187 0
289.107 80.186 0
289.357 80.186 0
289.607 80.185 0
289.857 80.184 0
290.107 80.183 0
290.357 80.183 0
290.607 80.182 0
290.857 80.181 0
291.107 80.180 0
291.357 80.180 0
291.607 80.179 0
291.857 80.178 0
292.107 80.178 0
292.357 80.177 0
292.607 80.176 0
292.857 80.175 0
293.107 80.175 0
293.357 80.174 0
293.607 80.173 0
293.857 80.173 0
294.107 80.172 0
294.357 80.171 0
294.607 80.171 0
294.857 80.170 0
295.107 80.169 0
295.357 80.169 0
295.607 80.168 0
295.857 80.167 0
296.107 80.166 0
296.357 80.166 0
296.607 80.165 0
296.857 80.164 0
297.107 80.164 0
297.357 80.163 0
297.607 80.162 0
297.857 80.162 0
298.107 80.161 0
298.357 80.160 0
298.607 80.160 0
298.857 80.159 0
299.107 80.158 0
299.357 80.158 0
299.607 80.157 0
299.857 80.156 0
300.107 80.156 0
300.357 80.155 0
300.607 80.154 0
300.857 80.154 0
301.107 80.153 0
301.357 80.152 0
301.607 80.152 0
301.857 80.151 0
302.107 80.150 0
302.357 80.150 0
302.607 80.149 0
302.857 80.148 0
303.107 80.148 0
303.357 80.147 0
303.607 80.146 0
303.857 80.146 0
304.107 80.145 0
304.357 80.145 0
304.607 80.144 0
304.857 80.143 0
305.107 80.143 0
305.357 80.142 0
305.607 80.141 0
305.857 80.141 0
306.107 80.140 0
306.357 80.139 0
306.607 80.139 0
306.857 80.138 0
307.107 80.138 0
307.357 80.137 0
307.607 80.136 0
307.857 80.136 0
308.107 80.135 0
308.357 80.134 0
308.607 80.134 0
308.857 80.133 0
309.107 80.133 0
309.357 80.132 0
309.607 80.131 0
309.857 80.131 0
310.107 80.130 0
310.357 80.130 0
310.607 80.129 0
310.857 80.128 0
311.107 80.128 0
311.357 80.127 0
311.607 80.127 0
311.857 80.126 0
312.107 80.125 0
312.357 80.125 0
312.607 80.124 0
312.857 80.124 0
313.107 80.123 0
313.357 80.122 0
313.607 80.122 0
313.857 80.121 0
314.107 80.121 0
314.357 80.120 0
314.607 80.120 0
314.857 80.119 0
315.107 80.119 0
315.357 80.118 0
315.607 80.118 0
315.857 80.118 0
316.107 80.117 0
316.357 80.117 0
316.607 80.117 0
316.857 80.116 0
317.107 80.116 0
317.357 80.116 0
317.607 80.116 0
317.857 80.115 0
318.107 80.115 0
318.357 80.115 0
318.607 80.115 0
318.857 80.115 0
319.107 80.115 0
319.357 80.114 0
319.607 80.114 0
319.857 80.114 0
320.107 80.114 0
320.357 80.114 0
320.607 80.114 0
320.857 80.114 0
321.107 80.114 0
321.357 80.113 0
321.607 80.113 0
321.857 80.113 0
322.107 80.113 0
322.357 80.113 0
322.607 80.113 0
322.857 80.112 0
323.107 80.112 0
323.357 80.112 0
323.607 80.112 0
323.857 80.112 0
324.107 80.112 0
324.357 80.112 0
324.607 80.111 0
324.857 80.111 0
325.107 80.111 0
325.357 80.111 0
325.607 80.111 0
325.857 80.111 0
326.107 80.110 0
326.357 80.110 0
326.607 80.110 0
326.857 80.110 0
327.107 80.110 0
327.357 80.110 0
327.607 80.109 0
327.857 80.109 0
328.107 80.109 0
328.357 80.109 0
328.607 80.109 0
328.857 80.108 0
329.107 80.108 0
329.357 80.108 0
329.607 80.108 0
329.857 80.107 0
330.107 80.107 0
330.357 80.107 0
330.607 80.107 0
330.857 80.106 0
331.107 80.106 0
331.357 80.106 0
331.607 80.106 0
331.857 80.105 0
332.107 80.105 0
332.357 80.105 0
332.607 80.105 0
332.857 80.104 0
333.107 80.104 0
333.357 80.104 0
333.607 80.104 0
333.857 80.104 0
334.107 80.103 0
334.357 80.103 0
334.607 80.103 0
334.857 80.103 0
335.107 80.103 0
335.357 80.103 0
335.607 80.103 0
335.857 80.102 0
336.107 80.102 0
336.357 80.102 0
336.607 80.102 0
336.857 80.102 0
337.107 80.102 0
337.357 80.102 0
337.607 80.102 0
337.857 80.101 0
338.107 80.101 0
338.357 80.101 0
338.607 80.101 0
338.857 80.101 0
339.107 80.101 0
339.357 80.101 0
339.607 80.101 0
339.857 80.100 0
340.107 80.100 0
340.357 80.100 0
340.607 80.100 0
340.857 80.100 0
341.107 80.100 0
341.357 80.100 0
341.607 80.100 0
341.857 80.099 0
342.107 80.099 0
342.357 80.099 0
342.607 80.099 0
342.857 80.099 0
